image_index,edsr_mse,edsr_psnr,edsr_ssim,bicubic_mse,bicubic_psnr,bicubic_ssim,psnr_improvement,ssim_improvement,mse_reduction
48,0.00031740241684019566,34.98389770661308,0.8863478200352461,0.0003658937057480216,34.36645061359016,0.8643309205266912,0.6174470930229177,0.0220168995085549,4.849128890782595e-05
49,0.0005888268351554871,32.30012405711357,0.8606976602089838,0.000683181919157505,31.654636360456795,0.8267733864804396,0.645487696656776,0.03392427372854412,9.435508400201797e-05
50,0.0008468563319183886,30.72190260917608,0.843524183221441,0.0009424137533642352,30.257583845193988,0.812864484928554,0.46431876398209226,0.03065969829288695,9.555742144584656e-05
51,0.0003256698837503791,34.872224008633154,0.8742852008607948,0.00036313588498160243,34.39930832113182,0.852896964211153,0.4729156875013345,0.021388236649641734,3.7466001231223345e-05
52,0.0004921112558804452,33.07936701393757,0.8643145423073539,0.0005670832470059395,32.463531826211536,0.839352952774337,0.6158351877260344,0.02496158953301697,7.497199112549424e-05
53,0.00028116570319980383,35.51037655983228,0.9001782968183802,0.0003146686649415642,35.02146502465008,0.8844767081646535,0.4889115351822042,0.015701588653726728,3.350296174176037e-05
54,0.00040731666376814246,33.90067822090498,0.8723088216042315,0.0004525624681264162,33.44321465762343,0.8502757167015484,0.45746356328155,0.022033104902683065,4.5245804358273745e-05
55,0.0004666015738621354,33.31053800650522,0.8721664632254906,0.0005420070374384522,32.65995074530166,0.8469842478081675,0.6505872612035617,0.02518221541732313,7.540546357631683e-05
56,0.0001649677287787199,37.826010047804864,0.9168894693039675,0.00017902301624417305,37.47091129996364,0.9066833877616638,0.3550987478412253,0.010206081542303735,1.4055287465453148e-05
57,0.00042319908970966935,33.734552751280994,0.8473125763635247,0.0004646704765036702,33.32854920159097,0.8252010008840218,0.40600354969002694,0.022111575479502932,4.1471386794000864e-05
58,0.00039096272666938603,34.07864645093709,0.8827816120746703,0.0004179948882665485,33.78829029256556,0.8689147244670344,0.29035615837153017,0.01386688760763588,2.7032161597162485e-05
59,0.0003252320166211575,34.87806707981191,0.8856463517227307,0.00034349225461483,34.64083051372885,0.8731567474658777,0.23723656608306243,0.01248960425685297,1.826023799367249e-05
60,0.00032140291295945644,34.92950191429286,0.9035310242524046,0.0003561801859177649,34.483302437327524,0.887028773947608,0.446199476965333,0.016502250304796573,3.477727295830846e-05
61,0.0002437186922179535,36.131111609433106,0.9118663154082222,0.000274493737379089,35.61467559602706,0.897925238911604,0.5164360134060431,0.013941076496618132,3.0775045161135495e-05
62,0.0005441450630314648,32.64285306780153,0.8612630494140233,0.0006180905038490891,32.089479287227206,0.8348876930621751,0.5533737805743257,0.026375356351848178,7.394544081762433e-05
63,0.0004033867735415697,33.94278345766491,0.8648120061236864,0.0004681485006585717,33.2961636319376,0.8354974230063729,0.6466198257273064,0.029314583117313497,6.476172711700201e-05
64,0.0005607462953776121,32.512335869422756,0.8414619582213008,0.0006386393215507269,31.9474434510324,0.8123239982725438,0.5648924183903574,0.02913795994875701,7.789302617311478e-05
65,0.00037771440111100674,34.22836456517953,0.858615695195284,0.0004190987383481115,33.776836465612355,0.837588262061618,0.4515280995671773,0.021027433133666062,4.1384337237104774e-05
66,0.0003691823221743107,34.327591027868536,0.8751607084953674,0.0004370745737105608,33.594444573364385,0.8469437525182906,0.7331464545041513,0.028216955977076852,6.789225153625011e-05
67,0.0006605329690501094,31.80105500654757,0.8470699529941361,0.0007069509010761976,31.506107476346852,0.8282111500372955,0.2949475302007194,0.018858802956840615,4.641793202608824e-05
68,0.00045322420191951096,33.436869071063995,0.8843251437531823,0.0005111424834467471,32.91458021295347,0.8653299036318053,0.522288858110528,0.01899524012137699,5.7918281527236104e-05
69,0.0003193782758899033,34.95694627903249,0.9013778665274466,0.0003476733108982444,34.588286466031846,0.8892003029355371,0.3686598130006473,0.012177563591909468,2.8295035008341074e-05
70,0.0007603361154906452,31.18994380306638,0.8477948492335636,0.0008748273248784244,30.5807766040968,0.8146165689852441,0.6091671989695797,0.03317828024831948,0.00011449120938777924
71,0.0008476380608044565,30.717895507504842,0.8603959565673773,0.000963593483902514,30.161061454885033,0.8310061054854423,0.5568340526198092,0.029389851081935037,0.00011595542309805751
72,0.0007397849694825709,31.30894496671736,0.8442309563450461,0.0007957355701364577,30.992312281288026,0.8214664544808324,0.3166326854293331,0.022764501864213638,5.5950600653886795e-05
73,0.00039848312735557556,33.99590062853821,0.889990166722687,0.00042556406697258353,33.71035049355729,0.8778033292253152,0.28555013498091597,0.012186837497371816,2.708093961700797e-05
74,0.0003982128982897848,33.998846770927415,0.8701006264540446,0.00045441172551363707,33.42550470738567,0.8466239745193807,0.5733420635417446,0.023476651934663972,5.619882722385228e-05
75,0.0002978843403980136,35.25952326786593,0.9035988340500438,0.000332830473780632,34.777769167897375,0.8879285423124955,0.4817540999685548,0.015670291737548303,3.494613338261843e-05
76,0.0002334967430215329,36.317191729036125,0.8956257252248384,0.0002646236098371446,35.77371410471418,0.8779906618833848,0.5434776243219446,0.017635063341453594,3.112686681561172e-05
77,0.0009491745149716735,30.22653930964347,0.8244146458041409,0.0010702963918447495,29.70495938653173,0.7915227547092282,0.5215799231117408,0.03289189109491275,0.00012112187687307596
78,0.0006662252126261592,31.763789358939828,0.8174276067837078,0.0007756291888654232,31.103458556987245,0.7801956349054584,0.6603308019525826,0.03723197187824945,0.00010940397623926401
79,0.00038129507447592914,34.18738804854157,0.8792022656628953,0.00045520038111135364,33.41797383004706,0.8494405970331301,0.7694142184945107,0.029761668629765148,7.39053066354245e-05
